LECROYWR6050A,16172,Waveform
Segments,1,SegmentSize,2502
Segment,TrigTime,TimeSinceSegment1
#1,11-Jun-2009 13:00:58,0                 
Time,Ampl
3.975591e-007,-0.221889
3.977591e-007,-0.222959
3.979591e-007,-0.220801
3.981591e-007,-0.218419
3.983591e-007,-0.217262
3.985591e-007,-0.217521
3.987591e-007,-0.217642
3.989591e-007,-0.216951
3.991591e-007,-0.216796
3.993591e-007,-0.216675
3.995591e-007,-0.215449
3.997591e-007,-0.215519
3.999591e-007,-0.218177
4.001591e-007,-0.220042
4.003591e-007,-0.21759
4.005591e-007,-0.211513
4.007591e-007,-0.206921
4.009591e-007,-0.208095
4.011591e-007,-0.212256
4.013591e-007,-0.214103
4.015591e-007,-0.212912
4.017591e-007,-0.210702
4.019591e-007,-0.209027
4.021591e-007,-0.209424
4.023591e-007,-0.211807
4.025591e-007,-0.21431
4.027591e-007,-0.215726
4.029591e-007,-0.215225
4.031591e-007,-0.212204
4.033591e-007,-0.208112
4.035591e-007,-0.205454
4.037591e-007,-0.204591
4.039591e-007,-0.203089
4.041591e-007,-0.199688
4.043591e-007,-0.197513
4.045591e-007,-0.199153
4.047591e-007,-0.201863
4.049591e-007,-0.202467
4.051591e-007,-0.201656
4.053591e-007,-0.200672
4.055591e-007,-0.199791
4.057591e-007,-0.199256
4.059591e-007,-0.198738
4.061591e-007,-0.198497
4.063591e-007,-0.199532
4.065591e-007,-0.200586
4.067591e-007,-0.199912
4.069591e-007,-0.199153
4.071591e-007,-0.19993
4.073591e-007,-0.199671
4.075591e-007,-0.195579
4.077591e-007,-0.190694
4.079591e-007,-0.190659
4.081591e-007,-0.194923
4.083591e-007,-0.196494
4.085591e-007,-0.192109
4.087591e-007,-0.186585
4.089591e-007,-0.185411
4.091591e-007,-0.188656
4.093591e-007,-0.192765
4.095591e-007,-0.194837
4.097591e-007,-0.19475
4.099591e-007,-0.194164
4.101591e-007,-0.194198
4.103591e-007,-0.194233
4.105591e-007,-0.193024
4.107591e-007,-0.190607
4.109591e-007,-0.188259
4.111591e-007,-0.18655
4.113591e-007,-0.186429
4.115591e-007,-0.189399
4.117591e-007,-0.193318
4.119591e-007,-0.19425
4.121591e-007,-0.193456
4.123591e-007,-0.194043
4.125591e-007,-0.193732
4.127591e-007,-0.189537
4.129591e-007,-0.184082
4.131591e-007,-0.182148
4.133591e-007,-0.183909
4.135591e-007,-0.184807
4.137591e-007,-0.182614
4.139591e-007,-0.180991
4.141591e-007,-0.18289
4.143591e-007,-0.185739
4.145591e-007,-0.186326
4.147591e-007,-0.185532
4.149591e-007,-0.185877
4.151591e-007,-0.187103
4.153591e-007,-0.186861
4.155591e-007,-0.185204
4.157591e-007,-0.184738
4.159591e-007,-0.184876
4.161591e-007,-0.182597
4.163591e-007,-0.179403
4.165591e-007,-0.178281
4.167591e-007,-0.176658
4.169591e-007,-0.172429
4.171591e-007,-0.170685
4.173591e-007,-0.174466
4.175591e-007,-0.178264
4.177591e-007,-0.177711
4.179591e-007,-0.175156
4.181591e-007,-0.172809
4.183591e-007,-0.170133
4.185591e-007,-0.167595
4.187591e-007,-0.16649
4.189591e-007,-0.166059
4.191591e-007,-0.164902
4.193591e-007,-0.162761
4.195591e-007,-0.159671
4.197591e-007,-0.155804
4.199591e-007,-0.152438
4.201591e-007,-0.150867
4.203591e-007,-0.150539
4.205591e-007,-0.150055
4.207591e-007,-0.148519
4.209591e-007,-0.145843
4.211591e-007,-0.14334
4.213591e-007,-0.14208
4.215591e-007,-0.140819
4.217591e-007,-0.13804
4.219591e-007,-0.135209
4.221591e-007,-0.135174
4.223591e-007,-0.137332
4.225591e-007,-0.13861
4.227591e-007,-0.139214
4.229591e-007,-0.140819
4.231591e-007,-0.140975
4.233591e-007,-0.137418
4.235591e-007,-0.133379
4.237591e-007,-0.132654
4.239591e-007,-0.134017
4.241591e-007,-0.133897
4.243591e-007,-0.132136
4.245591e-007,-0.131825
4.247591e-007,-0.133327
4.249591e-007,-0.133948
4.251591e-007,-0.133845
4.253591e-007,-0.134518
4.255591e-007,-0.134345
4.257591e-007,-0.132878
4.259591e-007,-0.133724
4.261591e-007,-0.138212
4.263591e-007,-0.142891
4.265591e-007,-0.144237
4.267591e-007,-0.141786
4.269591e-007,-0.138178
4.271591e-007,-0.136521
4.273591e-007,-0.137228
4.275591e-007,-0.138074
4.277591e-007,-0.136987
4.279591e-007,-0.135122
4.281591e-007,-0.135485
4.283591e-007,-0.137936
4.285591e-007,-0.13842
4.287591e-007,-0.135433
4.289591e-007,-0.133448
4.291591e-007,-0.135744
4.293591e-007,-0.138765
4.295591e-007,-0.138402
4.297591e-007,-0.136693
4.299591e-007,-0.137556
4.301591e-007,-0.139697
4.303591e-007,-0.139248
4.305591e-007,-0.136762
4.307591e-007,-0.135468
4.309591e-007,-0.135088
4.311591e-007,-0.134812
4.313591e-007,-0.136849
4.315591e-007,-0.140664
4.317591e-007,-0.141803
4.319591e-007,-0.138972
4.321591e-007,-0.135934
4.323591e-007,-0.135778
4.325591e-007,-0.137349
4.327591e-007,-0.137298
4.329591e-007,-0.135088
4.331591e-007,-0.133361
4.333591e-007,-0.134138
4.335591e-007,-0.136728
4.337591e-007,-0.13854
4.339591e-007,-0.137971
4.341591e-007,-0.136417
4.343591e-007,-0.135588
4.345591e-007,-0.135502
4.347591e-007,-0.136814
4.349591e-007,-0.139628
4.351591e-007,-0.140906
4.353591e-007,-0.139127
4.355591e-007,-0.137729
4.357591e-007,-0.138558
4.359591e-007,-0.138955
4.361591e-007,-0.137643
4.363591e-007,-0.137073
4.365591e-007,-0.138299
4.367591e-007,-0.138799
4.369591e-007,-0.137142
4.371591e-007,-0.135899
4.373591e-007,-0.136745
4.375591e-007,-0.137367
4.377591e-007,-0.136849
4.379591e-007,-0.137436
4.381591e-007,-0.139542
4.383591e-007,-0.142166
4.385591e-007,-0.145929
4.387591e-007,-0.150003
4.389591e-007,-0.151091
4.391591e-007,-0.147811
4.393591e-007,-0.142235
4.395591e-007,-0.138679
4.397591e-007,-0.139904
4.399591e-007,-0.142753
4.401591e-007,-0.141976
4.403591e-007,-0.137833
4.405591e-007,-0.135537
4.407591e-007,-0.138782
4.409591e-007,-0.145032
4.411591e-007,-0.147725
4.413591e-007,-0.14441
4.415591e-007,-0.139887
4.417591e-007,-0.139231
4.419591e-007,-0.142287
4.421591e-007,-0.145705
4.423591e-007,-0.147379
4.425591e-007,-0.147518
4.427591e-007,-0.146119
4.429591e-007,-0.142235
4.431591e-007,-0.137626
4.433591e-007,-0.136365
4.435591e-007,-0.139214
